list_name,name,label::english,governorate,district,subdistrict,label::arabic
district,YE1523,Sami',YE15,,,سامع
district,YE1601,Khab wa Ash Sha'f,YE16,,,خب و الشعف
district,YE1602,Al Humaydat,YE16,,,الحميدات
district,YE1603,Al Matammah,YE16,,,المطمه
district,YE1604,Az Zahir,YE16,,,الزاهر - الجوف
district,YE1605,Al Hazm,YE16,,,الحزم
district,YE1606,Al Mutun,YE16,,,المتون
district,YE1607,Al Maslub,YE16,,,المصلوب
district,YE1608,Al Ghayl,YE16,,,الغيل
district,YE1609,Al Khalaq,YE16,,,الخلق
district,YE1610,Barat Al Anan,YE16,,,برط العنان
district,YE1611,Rajuzah,YE16,,,رجوزه
district,YE1612,Kharab Al Marashi,YE16,,,خراب المراشى
district,YE1701,Bakil Al Mir,YE17,,,بكيل المير
district,YE1702,Harad,YE17,,,حرض
district,YE1703,Midi,YE17,,,ميدي
district,YE1704,Abs,YE17,,,عبس
district,YE1705,Hayran,YE17,,,حيران
district,YE1706,Mustaba,YE17,,,مستباء
district,YE1707,Kushar,YE17,,,كشر
district,YE1708,Al Jamimah,YE17,,,الجميمه
district,YE1709,Kuhlan Ash Sharaf,YE17,,,كحلان الشرف
district,YE1710,Aflah Ash Sham,YE17,,,افلح الشام
district,YE1711,Khayran Al Muharraq,YE17,,,خيران المحرق
district,YE1712,Aslam,YE17,,,اسلم
district,YE1713,Qafl Shammar,YE17,,,قفل شمر
district,YE1714,Aflah Al Yaman,YE17,,,افلح اليمن
district,YE1715,Al Mahabishah,YE17,,,المحابشه
district,YE1716,Al Miftah,YE17,,,المفتاح
district,YE1717,Al Maghrabah,YE17,,,المغربه
district,YE1718,Kuhlan Afar,YE17,,,كحلان عفار
district,YE1719,Sharas,YE17,,,شرس
district,YE1720,Mabyan,YE17,,,مبين
district,YE1721,Ash Shahil,YE17,,,الشاهل
district,YE1722,Ku'aydinah,YE17,,,كعيدنه
district,YE1723,Wadrah,YE17,,,وضره
district,YE1724,Bani Qays,YE17,,,بني قيس الطور
district,YE1725,Ash shaghadirah,YE17,,,الشغادره
district,YE1726,Najrah,YE17,,,نجره
district,YE1727,Bani Al Awam,YE17,,,بني العوام
district,YE1728,Hajjah City,YE17,,,مدينة حجه
district,YE1729,Hajjah,YE17,,,حجه
district,YE1730,Washhah,YE17,,,وشحه
district,YE1731,Qarah,YE17,,,قاره
district,YE1801,Az Zuhrah,YE18,,,الزهره
district,YE1802,Alluhayah,YE18,,,اللحيه
district,YE1803,Kamaran,YE18,,,كمران
district,YE1804,As Salif,YE18,,,الصليف
district,YE1805,Al Munirah,YE18,,,المنيره
district,YE1806,Al Qanawis,YE18,,,القناوص
district,YE1807,Az Zaydiah,YE18,,,الزيديه
district,YE1808,Al Mighlaf,YE18,,,المغلاف
district,YE1809,Ad Dohi,YE18,,,الضحى
district,YE1810,Bajil,YE18,,,باجل
district,YE1811,Al Hujjaylah,YE18,,,الحجيله
district,YE1812,Bura',YE18,,,برع
district,YE1813,Al Marawi'ah,YE18,,,المراوعه
district,YE1814,Ad Durayhimi,YE18,,,الدريهمي
district,YE1815,As Sukhnah,YE18,,,السخنه
district,YE1816,Al Mansuriyah,YE18,,,المنصوريه
district,YE1817,Bayt Al Faqih,YE18,,,بيت الفقيه
district,YE1818,Jabal Ras,YE18,,,جبل راس
district,YE1819,Hays,YE18,,,حيس
district,YE1820,Al Khukhah,YE18,,,الخوخه
district,YE1821,Al Hawak,YE18,,,الحوك
district,YE1822,Al Mina,YE18,,,الميناء
