list_name,name,label::english,label::arabic,governorate,district,subdistrict,
latrinetype,hanging_toilet,Hanging toilet/latrine,   ????/ ????? ????,,,,
latrinetype,none_open,"None of the above, open defecation          ","?? ??? ??? ???? ?????? ?? ??????. ",,,,
latrinetype,dnk,I don't know,?? ???? ,,,,
latrinetype,refuse,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,,
,,,,,,,
,,,,,,,
,,,,,,,
orswho,women,Women,????,,,,
orswho,men,Men,???? ,,,,
orswho,children,Children,?????,,,,
orswho,other,Other (please specify):,???? (???? ???????),,,,
orswho,dnk,I don't know,?? ???? ,,,,
orswho,refuse,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,,
,,,,,,,
,,,,,,,
,,,,,,,
wateraccess,waterpoints_far,Waterpoints are too far,???? ?????? ????? ???,,,,
wateraccess,waterpouint_noreach,Waterpoints are difficult to reach (especially for people with disabilities),????? ?????? ??? ???? ?????? (?????? ?? ??? ??? ???????) ,,,,
wateraccess,dangerous,Fetching water is a dangerous activity,??? ?????? ???? ???? ???,,,,
wateraccess,groups_noaccess,"Some groups (children, women, elderly, ethnic minorities, IDPs, etc.) do not have access to the water points",??? ????????? (??????? ??????? ????? ???? ????????? ??????? ?????????) ?? ?????? ?????? ??? ???? ??????,,,,
wateraccess,water_expensive,Water is too expensive,??? ?????? ???? ???? ???? ???????,,,,
wateraccess,storage_expensive,Storage containers are too expensive,?????? ????? ?????? ????? ???,,,,
wateraccess,waiting_time,Insufficient number of water points/ waiting time at water points,??? ????? ??? ???? ??????/ ??? ???????? ??? ???? ??????,,,,
wateraccess,waterpoints_closed,Water points are not functioning or closed,???? ?????? ?? ????  ?? ?????,,,,
wateraccess,not_available,Water is not available at the market,?????? ??? ?????? ?? ?????,,,,
wateraccess,water_bedtaste,People don't like the taste/quality of the water,??????? ?? ????? ???/ ???? ??????,,,,
wateraccess,other,Other (please specify):,???? (??? ???????),,,,
wateraccess,dnk,I don't know,?? ????,,,,
wateraccess,refuse,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,,
,,,,,,,
,,,,,,,
,,,,,,,
soapaccess,far_away,The market is too far away,????? ???? ???,,,,
soapaccess,dangerous,Going to the market is dangerous,?????? ????? ???? ???,,,,
soapaccess,groups_noaccess,"Some groups (children, women, elderly, ethnic minorities, IDPs, etc.) do not have access to the market",??? ????????? (??????? ??????? ????????? ????????? ????.) ?? ?????? ?????? ?????,,,,
soapaccess,soap_expensive,Soap is too expensive for some people,??????? ???? ??? ???? ???????,,,,
soapaccess,not_available,Soap is not available at the market,??????? ??? ????? ?? ?????,,,,
soapaccess,bad_qualoty,Some people do not like the quality of the soap,??? ??????? ?? ????? ???? ???????,,,,
soapaccess,other,Other (please specify):,???? (???? ???????),,,,
soapaccess,dnk,I don't know,?? ????,,,,
soapaccess,refuse,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,,
,,,,,,,
year,2019,2019,2019,,,,
year,2018,2018,2018,,,,
year,2017,2017,2017,,,,
year,2016,2016,2016,,,,
year,2015,2015,2015,,,,
year,2014,2014,2014,,,,
year,2013,2013,2013,,,,
year,earlier,In earlier years,??? ??? (?? ??????? ???????),,,,
year,refuse,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,,
,,,,,,,
,,,,,,,
month,jan,January,?????,,,,
month,feb,February,??????,,,,
month,mar,March,????,,,,
month,apr,April,?????,,,,
month,may,May,???? ,,,,
month,jun,June,?????,,,,
month,jul,July,?????,,,,
month,aug,August,?????,,,,
month,sept,September,??????,,,,
month,oct,October,??????,,,,
month,nov,November,??????,,,,
month,dec,December,??????,,,,
month,dnk,I don't know,?? ????,,,,
month,refuse,Refuse to answer (DO NOT READ),??? ??????? (?? ????),,,,
,,,,,,,
,,,,,,,
,,,,,,,
latrineaccess,no_latrines,Lack of sanitation facilities (latrines/toilets) / facilities too crowded,??? ????? ????? ????? (?????/ ????)/ ?? ??????? ?????? ????,,,,
latrineaccess,latrines_notfunctioning,Sanitation facilities (latrines/toilets) are not functioning or full (overflowing septic tanks),????? ????? ????? (?????/ ????) ?? ???? ?? ?????? (?????? ????? ????? ?????),,,,
