list_name,name,label::english,governorate
wateraccess,water_bedtaste,People don't like the taste/quality of the water,
wateraccess,other,Other (please specify):,
wateraccess,dnk,I don't know,
wateraccess,refuse,Refuse to answer (DO NOT READ),
,,,
,,,
,,,
soapaccess,far_away,The market is too far away,
soapaccess,dangerous,Going to the market is dangerous,
soapaccess,groups_noaccess,"Some groups (children, women, elderly, ethnic minorities, IDPs, etc.) do not have access to the market",
soapaccess,soap_expensive,Soap is too expensive for some people,
soapaccess,not_available,Soap is not available at the market,
soapaccess,bad_qualoty,Some people do not like the quality of the soap,
soapaccess,other,Other (please specify):,
soapaccess,dnk,I don't know,
soapaccess,refuse,Refuse to answer (DO NOT READ),
,,,
year,2019,2019,
year,2018,2018,
year,2017,2017,
year,2016,2016,
year,2015,2015,
year,2014,2014,
year,2013,2013,
year,earlier,In earlier years,
year,refuse,Refuse to answer (DO NOT READ),
,,,
,,,
month,jan,January,
month,feb,February,
month,mar,March,
month,apr,April,
month,may,May,
month,jun,June,
month,jul,July,
month,aug,August,
month,sept,September,
month,oct,October,
month,nov,November,
month,dec,December,
month,dnk,I don't know,
month,refuse,Refuse to answer (DO NOT READ),
,,,
,,,
,,,
latrineaccess,no_latrines,Lack of sanitation facilities (latrines/toilets) / facilities too crowded,
latrineaccess,latrines_notfunctioning,Sanitation facilities (latrines/toilets) are not functioning or full (overflowing septic tanks),
latrineaccess,latrines_nosewage,Sanitation facilities (latrines/toilets) lack a system/trucks for removing sewage tank,
latrineaccess,pipes_broken,The sewage pipes are broken,
latrineaccess,sewage_street,There is sewage in the streets,
latrineaccess,latines_unclean,Sanitation facilities (latrines/toilets) are unclean/unhygienic,
latrineaccess,latines_noprivacy,Sanitation facilities (latrines/toilets) are not private (no locks/door/walls/lighting etc.),
latrineaccess,latrines_nosegreg,Sanitation facilities (latrines/toilets) are not segregated between men and women,
latrineaccess,latrines_toofar,Sanitation facilities (latrines/toilets) are too far,
latrineaccess,latrines_noreach,Sanitation facilities (latrines/toilets) are difficult to reach (especially for people with disabilities),
latrineaccess,dangerous,Going to the sanitation facilities (latrines/toilets) is dangerous,
latrineaccess,groups_noaccess,"Some groups (children, women, elderly, ethnic minorities, etc.) do not have access to sanitation  facilities (latrines/toilets) ",
latrineaccess,dnk,I don't know,
latrineaccess,refuse,Refuse to answer (DO NOT READ),
,,,
,,,
,,,
,,,
accessgroup,women_girls,Women/girls,
accessgroup,men_boys,Men/boys,
accessgroup,disabled,People with disabilities,
accessgroup,elderly,Elderly people,
accessgroup,minorities,Marginalized people (minorities),
accessgroup,other,Other (please specify):,
accessgroup,dnk,I don't know,
accessgroup,refuse,Refuse to answer (DO NOT READ),
,,,
,,,
,,,
treatmethod,settle,Let it stand and settle,
treatmethod,boil,Boil it,
treatmethod,sunlight,Expose it to sunlight,
treatmethod,chlorine,Chlorine (tablets/powder/liquid),
treatmethod,hh_filter,Household filter,
treatmethod,other,Other (please specify):,
treatmethod,dnk,I don't know,
treatmethod,refuse,Refuse to answer (DO NOT READ),
,,,
,,,
watercoping,less_preferred_drink,"Rely on less preferred (unimproved/untreated) water sources for drinking water
",
watercoping,surface_water_drink,Rely on surface water for drinking water,
watercoping,less_preferred_cooking,"Rely on less preferred (unimproved/untreated) water sources for other purposes such as cooking and washing
",
watercoping,surface_water_cooking,"Rely on surface water for other purposes such as cooking and washing
",
watercoping,fetch_farway,"Fetch water at a source further than the usual one
",
watercoping,send_child,Send children to fetch water,
watercoping,fetch_indangerous,"Fetch water at a source that could be dangerous
",
watercoping,used_money_tobuy,"Spend money (or credit) on water that should otherwise be used for other purposes
",
watercoping,reduce_drinking,Reduce drinking water consumption (drink less),
watercoping,reduce_cooking,"Reduce water consumption for other purposes (bathe less, etc.)",
watercoping,other,Other (please specify):,
watercoping,dnk,I don't know,
watercoping,refuse,Refuse to answer (DO NOT READ),
,,,
,,,
,,,
,,,
whynot_treat,no_need,There is no need as they feel water they collect is clean and does not need to be treated,
whynot_treat,no_purification,They don't have materials for water purification/treatment,
whynot_treat,treat_toolong,Treating water takes too much time,
whynot_treat,treat_tooexpensive,Treating water costs too much money,
whynot_treat,no_knowledge,They don't know any treatment methods,
whynot_treat,other,Other (please specify):,
whynot_treat,dnk,I don't know,
whynot_treat,refuse,Refuse to answer (DO NOT READ),
,,,
phonepaper,phone,Mobile phone,
phonepaper,paper,Paper form,
,,,
,,,
,,,
,,,
,,,
governorate,YE12,Abyan,
governorate,YE24,Aden,
governorate,YE14,Al Bayda,
governorate,YE30,Al Dhale'e,
governorate,YE18,Al Hudaydah,
governorate,YE16,Al Jawf,
governorate,YE28,Al Maharah,
governorate,YE27,Al Mahwit,
governorate,YE29,Amran,
governorate,YE20,Dhamar,
governorate,YE19,Hadramaut,
governorate,YE17,Hajjah,
governorate,YE11,Ibb,
governorate,YE25,Lahj,
governorate,YE26,Marib,
governorate,YE31,Raymah,
governorate,YE22,Sa'ada,
governorate,YE23,Sana'a,
governorate,YE21,Shabwah,
governorate,YE32,Socotra,
governorate,YE15,Taizz,
governorate,YE13,Amanat Al Asimah,
,,,
district,YE1119,Al Dhihar,YE11
district,YE1107,Al Makhadir,YE11
district,YE1118,Al Mashannah,YE11
